Variable Name,Vaule,Description,FINAL DON'T TOUCH!
Re-A-DoorKitchenCabinetRefacingGlassDoors,"""https://www.re-a-door-cabinets.com/wp-content/uploads/2023/07/Re-A-Door-Kitchen-Cabinet-Refacing-Wood-Glass-Doors-3.pdf""",These are the The links to the pdf that are listed on the website. Feel free to update new links where you see fit. Simply paste the new link next to it name. All text in Bold can be edited,"""https://www.re-a-door-cabinets.com/wp-content/uploads/2023/07/Re-A-Door-Kitchen-Cabinet-Refacing-Wood-Glass-Doors-3.pdf"""
Re-A-DoorKitchenCabinetRefacingWoodDrawerBoxes,"""https://www.re-a-door-cabinets.com/wp-content/uploads/2023/07/Re-A-Door-Kitchen-Cabinet-Refacing-Wood-Drawer-Boxes.pdf""",These are the The links to the pdf that are listed on the website. Feel free to update new links where you see fit. Simply paste the new link next to it name. All text in Bold can be edited,"""https://www.re-a-door-cabinets.com/wp-content/uploads/2023/07/Re-A-Door-Kitchen-Cabinet-Refacing-Wood-Drawer-Boxes.pdf"""
Re-A-DoorKitchenCabinetRefacingWoodDoors,"""https://www.re-a-door-cabinets.com/wp-content/uploads/2023/07/Re-A-Door-Kitchen-Cabinet-Refacing-Wood-Doors.pdf""",These are the The links to the pdf that are listed on the website. Feel free to update new links where you see fit. Simply paste the new link next to it name. All text in Bold can be edited,"""https://www.re-a-door-cabinets.com/wp-content/uploads/2023/07/Re-A-Door-Kitchen-Cabinet-Refacing-Wood-Doors.pdf"""
Re-A-DoorKitchenCabinetRefacingRTFDoors,"""https://www.re-a-door-cabinets.com/wp-content/uploads/2023/07/Re-A-Door-Kitchen-Cabinet-Refacing-RTF-Doors.pdf""",These are the The links to the pdf that are listed on the website. Feel free to update new links where you see fit. Simply paste the new link next to it name. All text in Bold can be edited,"""https://www.re-a-door-cabinets.com/wp-content/uploads/2023/07/Re-A-Door-Kitchen-Cabinet-Refacing-RTF-Doors.pdf"""
Re-A-DoorKitchenCabinetRefacingCrownMoldings,"""https://www.re-a-door-cabinets.com/wp-content/uploads/2023/07/Re-A-Door-Kitchen-Cabinet-Refacing-Crown-Moldings.pdf""",These are the The links to the pdf that are listed on the website. Feel free to update new links where you see fit. Simply paste the new link next to it name. All text in Bold can be edited,"""https://www.re-a-door-cabinets.com/wp-content/uploads/2023/07/Re-A-Door-Kitchen-Cabinet-Refacing-Crown-Moldings.pdf"""
NewColortonesRe-A-DoorCabinets,"""https://www.re-a-door-cabinets.com/wp-content/uploads/2023/05/Colortones-Re-A-Door-Cabinets.pdf""",These are the The links to the pdf that are listed on the website. Feel free to update new links where you see fit. Simply paste the new link next to it name. All text in Bold can be edited,"""https://www.re-a-door-cabinets.com/wp-content/uploads/2023/05/Colortones-Re-A-Door-Cabinets.pdf"""
Re-A-Door-BestColors,"""https://www.re-a-door-cabinets.com/wp-content/uploads/2023/07/Re-A-Door-Kitchen-Cabinet-Refacing-Best-Colors.pdf""",These are the The links to the pdf that are listed on the website. Feel free to update new links where you see fit. Simply paste the new link next to it name. All text in Bold can be edited,"""https://www.re-a-door-cabinets.com/wp-content/uploads/2023/07/Re-A-Door-Kitchen-Cabinet-Refacing-Best-Colors.pdf"""
Re-A-Door-WoodStains,"""https://www.re-a-door-cabinets.com/wp-content/uploads/2023/05/Wood-Stains-Re-A-Door-Cabinets.pdf""",These are the The links to the pdf that are listed on the website. Feel free to update new links where you see fit. Simply paste the new link next to it name. All text in Bold can be edited,"""https://www.re-a-door-cabinets.com/wp-content/uploads/2023/05/Wood-Stains-Re-A-Door-Cabinets.pdf"""
TelephoneLink,"""tel:8134190007""",These are the The links to the pdf that are listed on the website. Feel free to update new links where you see fit. Simply paste the new link next to it name. All text in Bold can be edited,"""tel:8134190007"""
TimeTapLink,"""https://readoorcabinets.timetap.com/""",These are the The links to the pdf that are listed on the website. Feel free to update new links where you see fit. Simply paste the new link next to it name. All text in Bold can be edited,"""https://readoorcabinets.timetap.com/"""
